Reference AGB,RF-predicted AGB
172,102.2649333
189,80.39666667
160,117.8690667
171,128.5123333
172,135.1537
55,88.2733
74,94.12883333
189,198.1727
143,105.8101333
69,139.7358
200,136.6900667
77,102.7679667
285,195.22
149,131.7545333
141,138.4887333
186,143.5733333
148,129.7409667
176,63.27076667
98,130.3702333
330,258.4699667
153,166.2011
253,167.4984667
187,131.7573333
154,74.6423
76,141.7125333
187,140.0659667
158,87.50733333
161,105.8187667
123,151.8482667
121,163.1249333
71,126.2689333
105,136.4942333
185,113.7816
182,140.9335
149,169.3285333
130,135.6696333
132,158.3240667
153,159.4126667
82,109.5367667
239,234.5238667
218,203.6816
172,158.5437333
180,168.9257
38,150.0419333
204,134.5337
177,192.2227667
237,187.7304
257,191.0400667
120,141.6308667
124,174.9676667
78,95.3083
156,146.2409333
110,132.6818
140,135.6015
197,181.6988333
150,150.6858
112,129.0694667
178,192.7675667
154,171.4342333
69,177.3289333
210,214.8982333
204,191.6147
159,149.0282667
111,195.1649
229,184.3092
167,136.0079
113,109.8436667
192,161.2816333
129,90.50353333
232,208.2249333
204,181.7890667
64,113.3763333
127,87.88423333
227,190.9165
221,243.5115667
103,95.49003333
182,153.0191
183,209.3095
316,276.7750333
157,190.5725
176,157.9984667
126,93.64356667
190,166.3580667
30,50.24153333
31,49.58936667
252,221.5288333
334,121.8668
69,98.31273333
197,183.4026333
164,215.7491
72,90.1023
68,69.39366667
168,147.3030333
139,154.0469
56,102.4891333
30,66.54806667
173,165.2998
178,187.1036
115,107.5961333
113,119.7877667
178,199.5850667
191,168.0642333
112,88.10246667
189,97.24946667
151,59.45246667
116,114.7331
144,144.3385333
146,131.256
174,166.9814
171,155.6263
179,161.2925
83,104.2862667
37,82.12843333
150,176.0565667
125,135.4228667
167,172.0158
147,177.3167
136,162.1122
142,173.7530667
140,132.4751
174,153.1959333
155,188.9918333
194,159.2269667
171,125.3162
103,144.8830333
121,167.4243333
199,170.1493333
152,170.6963333
177,184.4646667
108,138.2630333
170,189.5230667
149,155.6180333
182,159.0127
87,188.022
200,187.5737333
112,158.76
97,158.9876333
80,123.5885667
59,138.5745
107,131.7706667
136,142.7365667
97,121.3632667
166,152.7738
140,172.9842667
69,104.3568667
167,125.8081667
166,139.743
78,82.80086667
166,119.5603667
148,74.7166
147,174.9635
141,123.4297
131,91.81443333
179,134.9457333
122,87.76476667
60,72.522
86,79.1291
135,131.8079
116,88.7969
96,106.8915333
40,95.71053333
145,139.5284
169,152.9190667
225,259.5642
93,113.3437
166,181.2478
229,177.2086667
93,124.0068333
172,152.5052333
175,188.0078
138,103.0237333
120,86.40833333
96,115.8645
78,90.38833333
119,154.6791333
99,100.6655
62,114.6787333
150,155.3945333
130,131.0285333
175,119.7689667
80,103.9336
79,92.97836667
140,144.0805
12,180.9867333
100,187.9663667
126,207.9423667
133,156.9272
210,133.8207
57,63.55353333
210,138.1394667
149,101.3818333
149,155.4977
152,118.5895667
55,79.70246667
129,172.9211
158,162.6742
65,96.48863333
69,98.58083333
22,122.6711333
167,155.8710333
215,170.5882333
168,141.5621
166,135.2185
33,68.904
164,125.9526667
111,82.3598
152,155.8072667
149,89.03063333
152,60.2491
137,114.6467667
132,123.3855667
11,141.6756333
152,89.92403333
157,150.2029
176,137.1149333
140,138.4031
197,160.3457667
181,167.6251333
157,79.74693333
139,127.7653
169,69.9694
128,64.86783333
127,77.72723333
152,87.2928
143,116.6840333
105,77.6786
137,130.7586333
105,68.75556667
94,78.74606667
183,94.89546667
145,128.0653667
101,130.9127333
237,110.165
131,129.8949333
181,98.00356667
22,75.1316
81,83.11843333
141,124.6726667
140,66.2727
144,69.79653333
117,137.1428333
79,72.651
57,139.1322
100,133.5225667
153,84.4536
78,80.21056667
124,165.5878
131,82.4863
148,111.8488
172,170.6787667
184,166.4416667
177,147.1457333
148,146.8767667
161,149.9828667
176,149.8440333
16,93.74536667
179,178.0530667
219,212.0196
206,179.9113333
156,174.3985667
164,162.4300333
163,143.3736
164,101.6193333
183,115.2717667
173,163.0710333
201,145.2598333
29,135.4627333
221,123.8485
25,171.0602333
127,156.3818
147,157.6927333
123,66.22103333
175,140.0086333
114,81.95253333
81,67.85253333
127,69.0126
109,138.2808333
272,137.6218
160,127.9933333
143,140.6394
139,112.6969
142,66.08763333
165,185.2524
201,169.8454333
199,191.5266333
162,189.2210333
263,176.9301333
206,181.3235
172,196.1611667
151,127.9058333
143,185.9721333
168,158.2883667
156,114.0005667
90,143.1000333
44,105.2516333
198,177.2953333
161,139.9160667
97,139.2902667
215,150.1430667
91,97.11336667
144,118.7824
211,191.1026
104,80.78693333
189,216.9275
123,110.1237
171,85.42403333
146,132.7852667
103,137.9694333
83,88.29133333
180,175.6894333
