Reference AGB,RF-predicted AGB
153,139.1187667
255,136.8471667
175,155.3024
216,160.0492
313,213.6208667
152,115.8047333
201,135.5876333
282,127.1736667
193,134.1485
187,140.8981333
193,156.9876
110,132.1306
245,192.7201333
259,128.1492333
243,206.0463667
228,170.0703
289,125.1944333
185,158.5782667
210,157.5866
44,93.327
165,119.8446
213,184.4380333
183,155.3523667
101,99.01926667
166,176.9006
150,146.9009333
135,67.78076667
160,148.6118333
236,180.1465333
114,99.1177
101,106.3871
132,182.2393667
114,90.11886667
128,146.4460333
145,162.1432
161,147.3425
130,159.5079333
138,111.2327
120,140.1668333
208,134.6873
190,142.4672
222,119.1998333
238,200.8852
234,191.9098333
187,166.6303
173,138.743
160,74.1886
148,166.9800333
183,160.7316333
272,188.9857333
213,194.729
197,151.3757667
148,137.8783333
129,114.1221667
127,99.37013333
238,167.5145667
273,135.7593667
187,177.2297667
232,179.0297333
117,64.3007
140,139.6023333
168,188.4500667
193,183.3909667
93,125.1343
201,156.6626333
133,174.3864
157,122.523
221,216.2793667
205,146.7461667
251,176.4431667
163,93.01946667
172,69.5902
137,152.1471
194,153.6053
128,103.6035667
136,120.4877
160,144.1624667
237,164.8424667
133,116.2325333
216,154.9080667
156,137.2989667
204,121.6138333
231,152.3866333
119,138.9799667
125,146.0587667
81,85.36773333
196,134.8748667
158,123.7664667
163,143.565
343,209.2158
109,94.13146667
163,116.1221
210,186.896
213,146.4662
202,176.0776667
177,161.8571333
242,205.3998
144,125.1737667
170,152.2844333
283,202.8778
148,117.187
234,188.9233
115,109.4210333
200,181.379
137,123.2509667
192,128.4693667
167,131.0244
201,115.7591
141,142.2203
218,203.1428
155,108.6761
155,128.5466
167,139.2515667
179,159.1470667
264,152.2235667
186,176.3445
132,122.0021
138,99.5108
256,140.0513333
158,115.4496333
233,112.5497333
184,133.1404333
96,95.82526667
171,157.6755333
214,152.9925333
146,154.7743333
127,146.3996667
202,165.7031667
224,141.3979667
184,163.415
185,143.7949333
118,116.7675
213,163.9792
183,116.8411
159,129.2425333
129,132.0601667
164,120.8949667
122,121.8336
160,155.3516667
44,75.45396667
218,158.9689667
225,227.9587
214,195.7529667
166,152.0006333
195,184.0012333
190,165.3531333
156,139.6785667
138,157.3361333
104,130.0774667
175,113.2708667
239,202.0469333
127,138.4122
219,148.4860667
177,158.2740333
189,160.9898667
217,151.3990667
167,132.3113667
139,75.55466667
117,110.2679
181,167.7564667
199,159.0855
205,176.0931
195,158.1894
152,139.3831
170,112.1007333
174,148.6798
181,153.4194
189,167.5705333
216,172.0197667
142,161.3921667
219,116.0730333
182,162.3267333
230,148.1530667
220,182.4458667
223,132.1903
161,111.9223667
171,171.5800667
122,134.2081
130,116.4711667
204,167.8923667
140,123.5079
179,165.3004667
199,155.3508333
230,198.2799
118,86.49126667
202,215.3261667
180,122.4885667
165,148.2293
193,139.3304667
228,169.396
241,205.3963667
216,76.74833333
297,203.6635333
229,177.9603333
155,103.1702667
148,165.9841
149,142.6419
162,163.6493
214,172.1376333
147,110.4279667
186,156.3996667
174,176.1321667
265,203.8835333
98,60.54983333
130,145.9042333
224,165.6854333
141,128.0126667
191,179.9143
178,164.0252333
142,168.9969
120,113.7850667
181,141.2454667
214,167.0188
196,169.2432667
146,137.6348667
189,124.7163
